samples,labels,condition
WT_1,control1,control
WT_2,control2,control
DEANR1KD_1,DEANR1KD1,DEANR1
DEANR1KD_2,DEANR1KD2,DEANR1
FOXA2KD_1,FOXA2KD1,FOXA2
FOXA2KD_2,FOXA2KD2,FOXA2
